Original Cell Type Name,Standardized Celltype Name
"GM11992,_GM12763_Lymphoblastoid_Blood","GM11992,_GM12763_Lymphoblastoid_Blood"
GM12801,GM12801_B_Lymphocyte_Blood
GM12801_B_Lymphocyte_Blood,GM12801_B_Lymphocyte_Blood
GM12864,GM12864_B_Lymphocyte_Blood
GM12864_B_Lymphocyte_Blood,GM12864_B_Lymphocyte_Blood
GM12865,GM12865_B_Lymphocyte_Blood
GM12865_B_Lymphocyte_Blood,GM12865_B_Lymphocyte_Blood
GM12866_B_Lymphocyte_Blood,GM12866_B_Lymphocyte_Blood
GM12867_B_Lymphocyte_Blood,GM12867_B_Lymphocyte_Blood
GM12868_B_Lymphocyte_Blood,GM12868_B_Lymphocyte_Blood
GM12869_B_Lymphocyte_Blood,GM12869_B_Lymphocyte_Blood
GM12870_B_Lymphocyte_Blood,GM12870_B_Lymphocyte_Blood
GM12871_B_Lymphocyte_Blood,GM12871_B_Lymphocyte_Blood
GM12872,GM12872_B_Lymphocyte_Blood
GM12872_B_Lymphocyte_Blood,GM12872_B_Lymphocyte_Blood
GM12873,GM12873_B_Lymphocyte_Blood
GM12873_B_Lymphocyte_Blood,GM12873_B_Lymphocyte_Blood
GM12874,GM12874_B_Lymphocyte_Blood
GM12874_B_Lymphocyte_Blood,GM12874_B_Lymphocyte_Blood
GM12875,GM12875_B_Lymphocyte_Blood
GM12875_B_Lymphocyte_Blood,GM12875_B_Lymphocyte_Blood
GM12878,GM12878_B_Lymphocyte_Blood
GM12878_B_Lymphocyte_Blood,GM12878_B_Lymphocyte_Blood
GM12878_FACS_sorted_G1_high_group,GM12878_FACS_sorted_G1_high_group
GM12878_FACS_sorted_G1_low_group,GM12878_FACS_sorted_G1_low_group
GM12878_FACS_sorted_G2_group,GM12878_FACS_sorted_G2_group
GM12878_FACS_sorted_S_group,GM12878_FACS_sorted_S_group
GM12878_Lymphoblastoid,GM12878_B_Lymphocyte_Blood
GM12878_Lymphoblastoid_Forebrain,GM12878_Lymphoblastoid_Forebrain
GM12890_Lymphoblastoid_Blood,GM12890_Lymphoblastoid_Blood
GM12891,GM12891_Lymphoblastoid_Blood
GM12891_Lymphoblastoid_Blood,GM12891_Lymphoblastoid_Blood
GM12892,GM12892_Lymphoblastoid_Blood
GM12892_Lymphoblastoid_Blood,GM12892_Lymphoblastoid_Blood
GM13976_Lymphoblastoid_Blood,GM13976_Lymphoblastoid_Blood
GM13977_Lymphoblastoid_Blood,GM13977_Lymphoblastoid_Blood
GM15510,GM15510_Lymphoblastoid_Blood
GM15510_Lymphoblastoid_Blood,GM15510_Lymphoblastoid_Blood
GM17942_Lymphoblastoid,GM17942_Lymphoblastoid
GM18486_Lymphoblastoid_Blood,GM18486_Lymphoblastoid_Blood
GM18498_Lymphoblastoid,GM18498_Lymphoblastoid
GM18499_Lymphoblastoid,GM18499_Lymphoblastoid
GM18501_Lymphoblastoid,GM18501_Lymphoblastoid
GM18502_Lymphoblastoid,GM18502_Lymphoblastoid
GM18504_Lymphoblastoid,GM18504_Lymphoblastoid
GM18505,GM18505_Lymphoblastoid_Blood
GM18505_Lymphoblastoid_Blood,GM18505_Lymphoblastoid_Blood
GM18507,GM18507_Lymphoblastoid_Blood
GM18507_Lymphoblastoid_Blood,GM18507_Lymphoblastoid_Blood
GM18508_Lymphoblastoid_Blood,GM18508_Lymphoblastoid_Blood
GM18510_Lymphoblastoid,GM18510_Lymphoblastoid
GM18511_Lymphoblastoid,GM18511_Lymphoblastoid
GM18516_Lymphoblastoid_Blood,GM18516_Lymphoblastoid_Blood
GM18517_Lymphoblastoid,GM18517_Lymphoblastoid
GM18519_Lymphoblastoid,GM18519_Lymphoblastoid
GM18520_Lymphoblastoid,GM18520_Lymphoblastoid
GM18522_Lymphoblastoid_Blood,GM18522_Lymphoblastoid_Blood
GM18526,GM18526_Lymphoblastoid_Blood
GM18526_Lymphoblastoid_Blood,GM18526_Lymphoblastoid_Blood
GM18852_Lymphoblastoid,GM18852_Lymphoblastoid
GM18853_Lymphoblastoid,GM18853_Lymphoblastoid
GM18855_Lymphoblastoid,GM18855_Lymphoblastoid
GM18856_Lymphoblastoid,GM18856_Lymphoblastoid
GM18858_Lymphoblastoid,GM18858_Lymphoblastoid
GM18859_Lymphoblastoid,GM18859_Lymphoblastoid
GM18861_Lymphoblastoid,GM18861_Lymphoblastoid
GM18862_Lymphoblastoid,GM18862_Lymphoblastoid
GM18870_Lymphoblastoid,GM18870_Lymphoblastoid
GM18907_Lymphoblastoid,GM18907_Lymphoblastoid
GM18909_Lymphoblastoid,GM18909_Lymphoblastoid
GM18912_Lymphoblastoid,GM18912_Lymphoblastoid
GM18913_Lymphoblastoid,GM18913_Lymphoblastoid
GM18916_Lymphoblastoid,GM18916_Lymphoblastoid
GM18951,GM18951_Lymphoblastoid_Blood
GM18951_Lymphoblastoid_Blood,GM18951_Lymphoblastoid_Blood
GM19092_Lymphoblastoid,GM19092_Lymphoblastoid
GM19093_Lymphoblastoid,GM19093_Lymphoblastoid
GM19098_Lymphoblastoid,GM19098_Lymphoblastoid
GM19099,GM19099_Lymphoblastoid_Blood
GM19099_Lymphoblastoid_Blood,GM19099_Lymphoblastoid_Blood
GM19101_Lymphoblastoid,GM19101_Lymphoblastoid
GM19114_Lymphoblastoid,GM19114_Lymphoblastoid
GM19116_Lymphoblastoid,GM19116_Lymphoblastoid
GM19119_Lymphoblastoid,GM19119_Lymphoblastoid
GM19127_Lymphoblastoid,GM19127_Lymphoblastoid
GM19130_Lymphoblastoid,GM19130_Lymphoblastoid
GM19131_Lymphoblastoid,GM19131_Lymphoblastoid
GM19137_Lymphoblastoid,GM19137_Lymphoblastoid
GM19138_Lymphoblastoid,GM19138_Lymphoblastoid
GM19140_Lymphoblastoid,GM19140_Lymphoblastoid
GM19141_Lymphoblastoid_Blood,GM19141_Lymphoblastoid_Blood
GM19143_Lymphoblastoid,GM19143_Lymphoblastoid
GM19144_Lymphoblastoid,GM19144_Lymphoblastoid
GM19147_Lymphoblastoid,GM19147_Lymphoblastoid
GM19152_Lymphoblastoid,GM19152_Lymphoblastoid
GM19153_Lymphoblastoid,GM19153_Lymphoblastoid
GM19159_Lymphoblastoid,GM19159_Lymphoblastoid
GM19160_Lymphoblastoid,GM19160_Lymphoblastoid
GM19171_Lymphoblastoid,GM19171_Lymphoblastoid
GM19190_Lymphoblastoid,GM19190_Lymphoblastoid
GM19192_Lymphoblastoid,GM19192_Lymphoblastoid
GM19193,GM19193_Lymphoblastoid_Blood
GM19193_Lymphoblastoid_Blood,GM19193_Lymphoblastoid_Blood
GM19200_Lymphoblastoid_Blood,GM19200_Lymphoblastoid_Blood
GM19201_Lymphoblastoid,GM19201_Lymphoblastoid
GM19203_Lymphoblastoid,GM19203_Lymphoblastoid
GM19204_Lymphoblastoid_Blood,GM19204_Lymphoblastoid_Blood
GM19206_Lymphoblastoid,GM19206_Lymphoblastoid
GM19207_Lymphoblastoid,GM19207_Lymphoblastoid
GM19209_Lymphoblastoid,GM19209_Lymphoblastoid
GM19210_Lymphoblastoid,GM19210_Lymphoblastoid
GM19222_Lymphoblastoid,GM19222_Lymphoblastoid
GM19223_Lymphoblastoid,GM19223_Lymphoblastoid
GM19225_Lymphoblastoid,GM19225_Lymphoblastoid
GM19238,GM19238_Lymphoblastoid_Blood
GM19238_Lymphoblastoid_Blood,GM19238_Lymphoblastoid_Blood
GM19239,GM19239_Lymphoblastoid_Blood
GM19239_Lymphoblastoid_Blood,GM19239_Lymphoblastoid_Blood
GM19240,GM19240_Lymphoblastoid_Blood
GM19240_Lymphoblastoid_Blood,GM19240_Lymphoblastoid_Blood
GM19257_Lymphoblastoid,GM19257_Lymphoblastoid
GM20000_Lymphoblastoid_Blood,GM20000_Lymphoblastoid_Blood
GM2255_Lymphoblastoid_Blood,GM2255_Lymphoblastoid_Blood
GM2555_Fibroblast,GM2255_Lymphoblastoid_Blood
GM2588_Lymphoblastoid_Blood,GM2588_Lymphoblastoid_Blood
GM2610_Lymphoblastoid_Blood,GM2610_Lymphoblastoid_Blood
GM2630_Lymphoblastoid_Blood,GM2630_Lymphoblastoid_Blood
GP5d_Colon,GP5d_Colon
GRANTA-519_B_Lymphocyte,GRANTA-519_B_Lymphocyte
Granulocyte_Blood,Granulocyte_Blood
Granulosa_cell_Ovary,Granulosa_cell_Ovary
GSU_Stomach,GSU_Stomach
H1_BMP4_Derived_Mesendoderm_Cultured_Cells,H1_BMP4_Derived_Mesendoderm_Cultured_Cells
H1_BMP4_Derived_Trophoblast_Cultured_Cells,H1_BMP4_Derived_Trophoblast_Cultured_Cells
H1_Derived_Mesenchymal_Stem_Cells,H1_Derived_Mesenchymal_Stem_Cells
H1_Derived_Neuronal_Progenitor_Cultured_Cells,H1_Derived_Neuronal_Progenitor_Cultured_Cells
H1_Embryonic_Stem_Cell,H1_Embryonic_Stem_Cell
H1_Embryonic_Stem_Cell_Embryo,H1_Embryonic_Stem_Cell_Embryo
H1-hESC,H1-hESC
H128_Epithelium_Lung,H128_Epithelium_Lung
H1299,H1299_Epithelium_Lung
H1299_Epithelium_Lung,H1299_Epithelium_Lung
H1975_Lung,H1975_Lung
H2009_Lung,H2009_Lung
H209_Lung_Cancer_Cell_Lung,H209_Lung_Cancer_Cell_Lung
H2171_Epithelium_Lung,H2171_Epithelium_Lung
H295R_Epithelium_Adrenal_Gland,H295R_Epithelium_Adrenal_Gland
H3122_Lung,H3122_Lung
H3396_Epithelium_Mammary_Gland,H3396_Epithelium_Mammary_Gland
H358_Lung,H358_Lung
H4_Neuroglioma_cell_Brain,H4_Neuroglioma_cell_Brain
H460_cells,H460_cells
H54_Glial_Cell_Brain,H54_Glial_Cell_Brain
H7_Embryonic_Stem_Cell_Embryo,H7_Embryonic_Stem_Cell_Embryo
H7-hESC,H7_Embryonic_Stem_Cell_Embryo
H9_Cell_Line,H9_Embryonic_Stem_Cell_Embryo
H9_Derived_Neuron_Cultured_Cells,H9_Derived_Neuron_Cultured_Cells
H9_Derived_Neuronal_Progenitor_Cultured_Cells,H9_Derived_Neuron_Cultured_Cells
H9_Embryonic_Stem_Cell_Embryo,H9_Embryonic_Stem_Cell_Embryo
H929_B_Lymphocyte_Bone_Marrow,H929_B_Lymphocyte_Bone_Marrow
H9ES,H9ES
HA-h,HA-h_Astrocyte_Hippocampus
HA-h_Astrocyte_Hippocampus,HA-h_Astrocyte_Hippocampus
HA-sp,HA-sp_Astrocyte_Spinal_Cord
HA-sp_Astrocyte_Spinal_Cord,HA-sp_Astrocyte_Spinal_Cord
HAc,HAc
HaCaT,HaCaT_Keratinocyte
HaCaT_Keratinocyte,HaCaT_Keratinocyte
Haematopoietic_Progenitor_Cell,Haematopoietic_Progenitor_Cell
Haematopoietic_Progenitor_Cell_Blood,Haematopoietic_Progenitor_Cell_Blood
Haematopoietic_Progenitor_Cell_Bone_Marrow,Haematopoietic_Progenitor_Cell_Bone_Marrow
Haematopoietic_Progenitor_Cell_Cord_blood,Haematopoietic_Progenitor_Cell_Cord_blood
HAEpiC,HAEpiC
HAP-1,HAP-1_Embryonic_Stem_Cell_Embryo
HAP-1_Embryonic_Stem_Cell_Embryo,HAP-1_Embryonic_Stem_Cell_Embryo
HBL1_B_cell_lymphoma,HBL1_B_cell_lymphoma
HBL1_B_Lymphocyte_Bone_Marrow,HBL1_B_cell_lymphoma
HBMEC,HBMEC
HCC1143,HCC1143
HCC1395,HCC1395
HCC1806_Epithelium_Breast,HCC1806_Mammary_carcinoma_cell_Breast
HCC1806_Mammary_carcinoma_cell_Breast,HCC1806_Mammary_carcinoma_cell_Breast
HCC1937_Breast,HCC1937_Breast
HCC1954_Breast,HCC1954_Epithelium_Mammary_Gland
HCC1954_Epithelium_Mammary_Gland,HCC1954_Epithelium_Mammary_Gland
HCC2157_Epithelium_Mammary_Gland,HCC2157_Epithelium_Mammary_Gland
HCC4018_Epithelium_Lung,HCC4018_Epithelium_Lung
HCC70_Epithelium_Breast,HCC70_Epithelium_Breast
HCC827_Epithelium_Lung,HCC827_Epithelium_Lung
HCC95_Epithelium_Lung,HCC95_Epithelium_Lung
HCF,HCF
HCFaa,HCFaa
HCM,HCM
HConF,HConF
HCPEpiC,HCPEpiC
HCT-116,HCT-116
HCT-116_Colon,HCT-116_Colorectal_cancer_cell_line
HCT-116_Colon_cancer_cell_Colon,HCT-116_Colorectal_cancer_cell_line
HCT-116_colorectal_adenocarcinoma_HCT116,HCT-116_Colorectal_cancer_cell_line
HCT-116_Colorectal_cancer_cell_line,HCT-116_Colorectal_cancer_cell_line
HCT-116_colorectal_carcinoma_derived_cell_line,HCT-116_Colorectal_cancer_cell_line
HCT-116_Epithelium_HCT116,HCT-116_Colorectal_cancer_cell_line
HCT-116_HCT116,HCT-116_Colorectal_cancer_cell_line
HCT-116_Human_colorectal_cancer_HCT116,HCT-116_Colorectal_cancer_cell_line
HCT-116_Human_colorectal_carcinoma,HCT-116_Colorectal_cancer_cell_line
HCT-116_Human_colorectal_tumor,HCT-116_Colorectal_cancer_cell_line
HCT-15_Epithelium_Colon,HCT-15_Epithelium_Colon
Heart,Heart
HEEpiC,HEEpiC
HEK,HEK293_Epithelium_Embryonic_Kidney
HEK293,HEK293_Epithelium_Embryonic_Kidney
HEK293_Epithelium_Embryonic_Kidney,HEK293_Epithelium_Embryonic_Kidney
HEK293_HEK_293_Cell_Line,HEK293_Epithelium_Embryonic_Kidney
HEK293_Kidney,HEK293_Epithelium_Embryonic_Kidney
HEK293-T-REx,HEK293-T-REx
HEK293A,HEK293A
HEK293FT_Kidney,HEK293FT_Kidney
HEK293T_Epithelium_Embryonic_Kidney,HEK293T_Epithelium_Embryonic_Kidney
HeLa,HeLa_Cervical_Carcinoma
HeLa_Adherent_HeLa_cells,HeLa_Cervical_Carcinoma
HeLa_Cervical_Carcinoma,HeLa_Cervical_Carcinoma
HeLa_Epithelium_Cervix,HeLa_Cervical_Carcinoma
HeLa_Suspension_HeLa_cells,HeLa_Cervical_Carcinoma
HeLa-S3,HeLa-S3_Epithelium_Cervix
HeLa-S3_Epithelium_Cervix,HeLa-S3_Epithelium_Cervix
Hematopoietic_Cell,Hematopoietic_Stem_Cell
Hematopoietic_stem_and_progenitor_cell,Hematopoietic_stem_and_progenitor_cell
Hematopoietic_stem_and_progenitor_cell_Blood,Hematopoietic_stem_and_progenitor_cell_Blood
Hematopoietic_stem_and_progenitor_cell_Bone_Marrow,Hematopoietic_stem_and_progenitor_cell_Bone_Marrow
Hematopoietic_stem_and_progenitor_cell_Cord_blood,Hematopoietic_stem_and_progenitor_cell_Cord_blood
Hematopoietic_stem_and_progenitor_cell_Fetal_Liver,Hematopoietic_stem_and_progenitor_cell_Fetal_Liver
Hematopoietic_Stem_Cell,Hematopoietic_Stem_Cell
Hematopoietic_Stem_Cell_Blood,Hematopoietic_Stem_Cell_Blood
Hematopoietic_Stem_Cell_Cord_blood,Hematopoietic_Stem_Cell_Cord_blood
Hematopoietic_Stem_Cell_Liver,Hematopoietic_Stem_Cell_Liver
hemogenic_mesoderm_(H-ECs),hemogenic_mesoderm_(H-ECs)
Hep3B,Hep3B
Hepatocyte,Hepatocyte_Liver
Hepatocyte_Liver,Hepatocyte_Liver
Hepatocytes,Hepatocyte_Liver
HepG2,HepG2_Hepatocellular_Carcinoma
HepG2_Epithelium_Liver,HepG2_Hepatocellular_Carcinoma
HepG2_hepatocellular_carcinoma,HepG2_Hepatocellular_Carcinoma
HepG2_Hepatocellular_Carcinoma,HepG2_Hepatocellular_Carcinoma
hES_I3_Embryonic_Stem_Cell_Embryo,hES_I3_Embryonic_Stem_Cell_Embryo
hESC,hESC_Embryonic_Stem_Cell
hESC_Derived_CD184+_Endoderm_Cultured_Cells,hESC_Derived_CD184+_Endoderm_Cultured_Cells
hESC_Derived_CD56+_Ectoderm_Cultured_Cells,hESC_Derived_CD56+_Ectoderm_Cultured_Cells
hESC_Derived_CD56+_Mesoderm_Cultured_Cells,hESC_Derived_CD56+_Mesoderm_Cultured_Cells
hESC_Embryonic_Stem_Cell,hESC_Embryonic_Stem_Cell
HFE145_Gastric_Cancer_Line,HFE145_Gastric_Cancer_Line
HFF,HFF_Fibroblast_Foreskin
HFF_Fibroblast_Foreskin,HFF_Fibroblast_Foreskin
HFF-Myc,HFF-Myc
hFOB_Embryonic_Stem_Cell_Bone,hFOB_Embryonic_Stem_Cell_Bone
HGF,HGF_Fibroblast_Gingiva
HGF_Fibroblast_Gingiva,HGF_Fibroblast_Gingiva
HGFDFN168_Fibroblast_Forearm_Skin_Biopsy,HGFDFN168_Fibroblast_Forearm_Skin_Biopsy
HIPEpiC,HIPEpiC
Hippocampus,Hippocampus
Hippocampus_Middle_Cell_Brain,Hippocampus_Middle_Cell_Brain
HK1,HK1
HKC8_Epithelium_Kidney,HKC8_Epithelium_Kidney
HL-60,HL-60_Leukemia_Cell
HL-60_Acute_myeloid_leukemia,HL-60_Leukemia_Cell
HL-60_Leukemia_Cell,HL-60_Leukemia_Cell
HL-60_Promyeloblast_Blood,HL-60_Leukemia_Cell
hMADS-3_Adipocyte_Adipose,hMADS-3_Adipocyte_Adipose
HMC-L,HMC-L
HMC-LT,HMC-LT
HMC-LTR,HMC-LTR
HMC-P6,HMC-P6
HMEC,HMEC_Mammary_Epithelial
HMEC_Mammary_Epithelial,HMEC_Mammary_Epithelial
HMEC-hTERT,HMEC-hTERT
HMF,HMF
HMLE-Twist-ER_125nM,HMLE-Twist-ER_125nM
HMLER,HMLER
hMSC-TERT4,hMSC-TERT4
HMVEC-dAd,HMVEC-dAd
HMVEC-dBl-Ad,HMVEC-dBl-Ad
HMVEC-dBl-Neo,HMVEC-dBl-Neo
HMVEC-dLy-Ad,HMVEC-dLy-Ad
HMVEC-dLy-Neo,HMVEC-dLy-Neo
HMVEC-dNeo,HMVEC-dNeo
HMVEC-LBl,HMVEC-LBl
HMVEC-LLy,HMVEC-LLy
HNE1,HNE1
HNPCEpiC,HNPCEpiC
HOS_Osteosarcoma_cell,HOS_Osteosarcoma_cell
HPAEC,HPAEC
HPAF,HPAF
HPAF-II_Pancreatic_ductal,HPAF-II_Pancreatic_ductal
HPB-ALL_T_Lymphocyte_Blood,HPB-ALL_T_Lymphocyte_Blood
HPDE6-E6E7,HPDE6-E6E7_Epithelium_Pancreas
HPDE6-E6E7_Epithelium_Pancreas,HPDE6-E6E7_Epithelium_Pancreas
HPdLF,HPdLF
HPF,HPF
HRCEpiC,HRCEpiC
HRE,HRE_Epithelium
HRE_Epithelium,HRE_Epithelium
HRGEC,HRGEC
HRPEpiC,HRPEpiC
HS-ES-2M_Embryonic_Stem_Cell,HS-ES-2M_Embryonic_Stem_Cell_epithelioid_sarcoma
HS-ES-2M_Embryonic_Stem_Cell_epithelioid_sarcoma,HS-ES-2M_Embryonic_Stem_Cell_epithelioid_sarcoma
HS27a_Bone_Marrow,HS27a_Bone_Marrow
HS578T_Epithelium_Mammary_Gland,HS578T_Epithelium_Mammary_Gland
Hs68_Fibroblast_Foreskin,Hs68_Fibroblast_Foreskin
HSC4_squamous_cell_carcinoma_Head_and_neck,HSC4_squamous_cell_carcinoma_Head_and_neck
HSMM,HSMM_Skeletal_Muscle_Myoblasts
HSMM_emb,HSMM_emb
HSMM_Skeletal_Muscle_Myoblasts,HSMM_Skeletal_Muscle_Myoblasts
HSMMtube,HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM,HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM
HT-3_Patient,HT-3_Patient
HT1080_Connective_Tissue,HT1080_fibrosarcoma
HT1080_fibrosarcoma,HT1080_fibrosarcoma
HT29_Colon,HT29_colorectal_adenocarcinoma
HT29_colorectal_adenocarcinoma,HT29_colorectal_adenocarcinoma
HT29_Epithelium_Colon,HT29_colorectal_adenocarcinoma
hTERT_immortalized_endometriosis_cells,hTERT_immortalized_endometriosis_cells
hTERT-RPE1_Epithelium,hTERT-RPE1_Epithelium
Htr8_Ectoderm,Htr8_Ectoderm
HTR8svn,HTR8svn
Hu09_Osteosarcoma_cell,Hu09_Osteosarcoma_cell
HuCCT1,HuCCT1
HUDEP-2,HUDEP-2
HUES48_Cell_Line,HUES48_Embryonic_Stem_Cell_Embryo
HUES48_Embryonic_Stem_Cell_Embryo,HUES48_Embryonic_Stem_Cell_Embryo
HUES6_Cell_Line,HUES6_Embryonic_Stem_Cell_Embryo
HUES6_Embryonic_Stem_Cell_Embryo,HUES6_Embryonic_Stem_Cell_Embryo
HUES64_Cell_Line,HUES64_Embryonic_Stem_Cell_Embryo
HUES64_Embryonic_Stem_Cell_Embryo,HUES64_Embryonic_Stem_Cell_Embryo
HUES8_hESCs_hESC,HUES8_hESCs_hESC
HUG1N_Stomach,HUG1N_Stomach
Huh-7,Huh7_Epithelium_Liver
Huh-7.5,Huh-7.5
Huh7,Huh7_Epithelium_Liver
Huh7_cancer_cells_Liver,Huh7_Epithelium_Liver
Huh7_Epithelium_Liver,Huh7_Epithelium_Liver
HuRef_Lymphoblast,HuRef_Lymphoblastoid
HuRef_Lymphoblastoid,HuRef_Lymphoblastoid
HUTU80,HUTU80
HUVEC,HUVEC_Umbilical_Vein_Endothelial_Cells
HUVEC_Umbilical_Vein_Endothelial_Cells,HUVEC_Umbilical_Vein_Endothelial_Cells
HVMF,HVMF
Hypothalamus,Hypothalamus
IB4_Lymphocyte_Blood,IB4_Lymphocyte_Blood
ID00014_Lymphoblastoid,ID00014_Lymphoblastoid
ID00015_Lymphoblastoid,ID00015_Lymphoblastoid
ID00016_Lymphoblastoid,ID00016_Lymphoblastoid
IM95_Gastric_Cancer_Line,IM95_Gastric_Cancer_Line
IMEC_Epithelium_Breast,IMEC_Epithelium_Breast
IMR-32_Neuroblastoma_cell,IMR-32_Neuroblastoma_cell
IMR-5,IMR-5
IMR-5_75_Neuroblastoma_cell,IMR-5_75_Neuroblastoma_cell
IMR90,IMR90_Fibroblast_Lung
IMR90_Cell_Line,IMR90_Fibroblast_Lung
IMR90_fibrobasts,IMR90_Fibroblast_Lung
IMR90_Fibroblast,IMR90_Fibroblast_Lung
IMR90_Fibroblast_Lung,IMR90_Fibroblast_Lung
IMR90hTert_Fibroblast_Fetal_Lung,IMR90hTert_Fibroblast_Fetal_Lung
IMS13q_Lymphoblast,IMS13q_Lymphoblast
IN528,IN528
inferior_parietal_cortex,inferior_parietal_cortex
Inferior_Temporal_Lobe_Cell_Brain,Inferior_Temporal_Lobe_Cell_Brain
Innate_lymphoid_cell_precursors_(ILCPs)_Blood,Innate_lymphoid_cell_precursors_(ILCPs)_Blood
Intermediate,Intermediate
IOE11_Epithelium_Ovary,IOE11_Epithelium_Ovary
IOE4_Epithelium_Ovary,IOE4_Epithelium_Ovary
iPS,iPS
iPS_4_iPSC,iPS_4_iPSC
iPS_A1_iPSC,iPS_A1_iPSC
iPS_A6_iPSC,iPS_A6_iPSC
iPS_C1_iPSC,iPS_C1_iPSC
iPS_cells_iPSC,iPS
iPS_DF_19.11_Cell_Line,iPS_DF_19.11_iPSC_Foreskin
iPS_DF_19.11_iPSC_Foreskin,iPS_DF_19.11_iPSC_Foreskin
iPS_DF_19.7_iPSC,iPS_DF_19.7_iPSC
iPS_DF_4.7_iPSC,iPS_DF_4.7_iPSC
iPS_DF_6.9_Cell_Line,iPS_DF_6.9_iPSC
iPS_DF_6.9_iPSC,iPS_DF_6.9_iPSC
iPS-11a_iPSC,iPS-11a_iPSC
iPS-15b_Cell_Line,iPS-15b_iPSC
iPS-15b_iPSC,iPS-15b_iPSC
iPS-18_Cell_Line,iPS-18_Cell_Line
iPS-18c_iPSC,iPS-18c_iPSC
iPS-20b_Cell_Line,iPS-20b_iPSC
iPS-20b_iPSC,iPS-20b_iPSC
iPSC,iPSC
Ishikawa,Ishikawa_Epithelium_Uterus
Ishikawa_Epithelium_Uterus,Ishikawa_Epithelium_Uterus
iSLK-219_Epithelium_Kidney,iSLK-219_Epithelium_Kidney
J-Lat_A72,J-Lat_A72
JHU-011_Erythroblast_Blood,JHU-011_Erythroblast_Fetal_Liver
JHU-011_Erythroblast_Fetal_Liver,JHU-011_Erythroblast_Fetal_Liver
JHU-029,JHU-029
JHU-06_EB,JHU-06
JHU-06_Endothelial_Cell,JHU-06
JHU-06_Keratinocyte,JHU-06
JHU-06_Monocyte_Blood,JHU-06
JJN-3,JJN-3
JMSU-1_cancer_cells,JMSU-1_cancer_cells
Jurkat,Jurkat_T_Lymphocyte_Blood
Jurkat_cells_line,Jurkat_T_Lymphocyte_Blood
Jurkat_E6-1_T_Lymphocyte_Blood,Jurkat_T_Lymphocyte_Blood
Jurkat_T_Lymphocyte_Blood,Jurkat_T_Lymphocyte_Blood
JURL_MK1_Haematopoietic_Progenitor_Cell_Bone_Marrow,JURL_MK1_Haematopoietic_Progenitor_Cell_Bone_Marrow
K562,K562_Leukemia_Cell
K562_Erythroblast_Bone_Marrow,K562_Leukemia_Cell
K562_Haematopoietic_and_lymphoid,K562_Leukemia_Cell
K562_human_erythroleukemic_cell_line,K562_Leukemia_Cell
K562_Leukemia,K562_Leukemia_Cell
K562_Leukemia_Bone,K562_Leukemia_Cell
K562_Leukemia_Cell,K562_Leukemia_Cell
K562_Lymphoblast,K562_Leukemia_Cell
K562_Tail,K562_Leukemia_Cell
KARPAS-422_B_cell_lymphoma,KARPAS-422_B_cell_lymphoma
KARPAS-422_B_Lymphocyte,KARPAS-422_B_cell_lymphoma
Kasumi-1_Acute_myeloid_leukemia,Kasumi-1_Acute_myeloid_leukemia
Kasumi-1_Myeloblast_Blood,Kasumi-1_Acute_myeloid_leukemia
Kasumi-3,Kasumi-3
KATO_III_Stomach,KATO_III_Stomach
KB_Cell_Epithelium_HeLa_contaminant,KB_Cell_Epithelium_HeLa_contaminant
KBM-7_Myeloblast_Blood,KBM-7_Myeloblast_Blood
KBM-7_Myeloid_Cell,KBM-7_Myeloblast_Blood
KELLY,KELLY_Neuroblastoma_cell
KELLY_Neuroblastoma_cell,KELLY_Neuroblastoma_cell
Keratinocyte,Keratinocyte
Keratinocyte_Foreskin,Keratinocyte_Foreskin
Keratinocyte_Skin,Keratinocyte_Skin
KG1_Acute_myeloid_leukemia,KG1_Acute_myeloid_leukemia
KG1_Bone_Marrow,KG1_Acute_myeloid_leukemia
KhES-1_Embryonic_Stem_Cell,KhES-1_Embryonic_Stem_Cell
Kidney,Kidney
KMS11,KMS11_Plasma_Cell_Bone_Marrow
KMS11_Plasma_Cell_Bone_Marrow,KMS11_Plasma_Cell_Bone_Marrow
KOPT-K1_T_Lymphocyte_Blood,KOPT-K1_T_Lymphocyte_Blood
KYSE-150_Epitheloid_Cell_Esophagus,KYSE-150_Epitheloid_Cell_Esophagus
KYSE-510,KYSE-150_Epitheloid_Cell_Esophagus
KYSE-70_Epithelium,KYSE-70_Epithelium
L1236_B_Lymphocyte_Blood,L1236_Hodgkin_Lymphoma_Cell
L1236_Hodgkin_Lymphoma_Cell,L1236_Hodgkin_Lymphoma_Cell
L3.6,L3.6_Pancreas
L3.6_Pancreas,L3.6_Pancreas
L428_B_Lymphocyte_Blood,L428_B_Lymphocyte_Blood
L428-PAX5_B_Lymphocyte,L428-PAX5_B_Lymphocyte
L591_B_Lymphocyte_Blood,L591_B_Lymphocyte_Blood
LAN-1_Neuroblastoma_cell,LAN-1_Neuroblastoma_cell
LAN6,LAN6
LCL_B_Lymphocyte,LCL_Lymphoblastoid_Blood
LCL_Lymphoblastoid_Blood,LCL_Lymphoblastoid_Blood
Left_Ventricle,Left_Ventricle
Leiomyoma_Cell,Leiomyoma_Cell
Leukemia,Leukemia_Cell
Leukemia_Cell,Leukemia_Cell
