Original Cell Type Name,Standardized Celltype Name
Blood,Blood
Bone,Bone
Bone_Marrow,Bone_Marrow
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells,Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Brain,Brain
Brain_Angular_Gyrus,Brain_Angular_Gyrus
Brain_Anterior_Caudate,Brain_Anterior_Caudate
Brain_Cingulate_Gyrus,Brain_Cingulate_Gyrus
Brain_Germinal_Matrix,Brain_Germinal_Matrix
Brain_Hippocampus_Middle,Brain_Hippocampus_Middle
Brain_Inferior_Temporal_Lobe,Brain_Inferior_Temporal_Lobe
Brain_Mid_Frontal_Lobe,Brain_Mid_Frontal_Lobe
Brain_Substantia_Nigra,Brain_Substantia_Nigra
Breast,Breast
Breast_Myoepithelial_Cells,Breast_Myoepithelial_Cells
breast_triple_negative_tumor_cell_line_BCSC1_Breast,breast_triple_negative_tumor_cell_line_BCSC1_Breast
Breast_vHMEC,Breast_vHMEC
BT-16_Brain,BT-16_Brain
BT-20_Epithelium_Mammary_Gland,BT-20_Epithelium_Mammary_Gland
BT-474_Epithelium_Mammary_Gland,BT-474
BT-474_Human_Breast_Cancer_Cell_Breast,BT-474
BT-549_Breast,BT-549
BT-549_Epithelium_Mammary_Gland,BT-549
BT168_Glioblastoma_Stem_Cell,BT168_Glioblastoma_Stem_Cell
C15_hiPSC-derived_cells,C15_hiPSC-derived_cells
C20_hiPS_cell,C20
C20_hiPSC-derived_cells,C20
C4-12,C4-12
C4-2_Epithelium,C4-2
C4-2_Prostate,C4-2
C4-2B_Epithelium_Prostate,C4-2B_Epithelium_Prostate
C6-3_Cortex_Prefrontal,C6-3_Cortex_Prefrontal
C6661,C6661
CA46_B_Lymphocyte,CA46_B_Lymphocyte
Caco-2,Caco-2_Epithelium_Colon
Caco-2_Epithelium_Colon,Caco-2_Epithelium_Colon
caki-1_Kidney,Caki-1_Kidney
Caki-2_Kidney,Caki-2_Kidney
CAL-1_Dendritic_Cell,CAL-1
CAL-1_Plasmacytoid_dendritic_cell,CAL-1
CAL33_squamous_cell_carcinoma_Head_and_neck,CAL33_squamous_cell_carcinoma_Head_and_neck
CAL51-MCF7_Epithelium_Breast,CAL51-MCF7_Epithelium_Breast
Calu-3_Epithelium_Lung,Calu-3_Epithelium_Lung
Calu-3_Lung,Calu-3_Epithelium_Lung
cancer_cells,cancer_cells
cancer_cells_Breast,cancer_cells_Breast
cancer_cells_Pancreas,cancer_cells_Pancreas
Cancer_stem_cell,Cancer_stem_cell
Cancer_stem_cell_Colon,Cancer_stem_cell_Colon
Capan-1_Pancreatic_ductal,Capan-1_Pancreatic_ductal
Capan-2_Pancreatic_ductal,Capan-2_Pancreatic_ductal
